id,deck,question,answer,tags,created_at
1,"默认牌组","苹果","Apple","","2026-02-26T11:35:57.717Z"
2,"默认牌组","香蕉","Banana","","2026-02-26T11:35:57.725Z"
4,"默认牌组","女儿的生日","0630","","2026-02-26T13:31:33.215Z"
7,"默认牌组","Apple","苹果","","2026-02-27T00:45:31.662Z"
21,"默认牌组","时区测试问题","时区测试答案","","2026-02-27T02:14:39.497Z"
23,"默认牌组","测试问题1","测试答案1","","2026-02-27T02:16:09.243Z"
25,"默认牌组","测试问题2","答案2","","2026-02-27T02:37:47.017Z"
26,"默认牌组","测试问题","测试答案","","2026-02-27T03:44:18.803Z"
33,"默认牌组","asd","asdf","","2026-02-27T07:32:47.166Z"
34,"默认牌组","发散风寒药","麻黄、桂枝、紫苏叶、生姜、香薷、荆芥、防风、羌活、白芷、细辛、藁本","","2026-02-27T07:48:39.468Z"
35,"默认牌组","麻黄","发汗解表、宣肺平喘、利水消肿","","2026-02-27T07:48:39.468Z"
36,"默认牌组","桂枝","发汗解肌、温通经脉、助阳化气、平冲降逆","","2026-02-27T07:48:39.468Z"
37,"默认牌组","紫苏叶","解表散寒、行气和胃、安胎","","2026-02-27T07:48:39.468Z"
38,"默认牌组","生姜","解表散寒、温中止呕、化痰止咳、解鱼蟹毒","","2026-02-27T07:48:39.468Z"
39,"默认牌组","香薷","发汗解表、化湿和中、利水消肿","","2026-02-27T07:48:39.468Z"
40,"默认牌组","荆芥","解表散风、透疹消疮","","2026-02-27T07:48:39.468Z"
41,"默认牌组","防风","祛风解表、胜湿止痛、止痉","","2026-02-27T07:48:39.468Z"
42,"默认牌组","羌活","解表散寒、祛风除湿、止痛","","2026-02-27T07:48:39.468Z"
43,"默认牌组","白芷","解表散寒、祛风止痛、宣通鼻窍、燥湿止带、消肿排脓","","2026-02-27T07:48:39.468Z"
44,"默认牌组","细辛","解表散寒、祛风止痛、通窍、温肺化饮","","2026-02-27T07:48:39.468Z"
45,"默认牌组","藁本","祛风散寒、除湿止痛","","2026-02-27T07:48:39.468Z"
46,"默认牌组","发散风热药","薄荷、牛蒡子、蝉蜕、桑叶、菊花、柴胡、升麻、葛根","","2026-02-27T07:48:39.468Z"
47,"默认牌组","薄荷","疏散风热、清利头目、利咽透疹、疏肝行气","","2026-02-27T07:48:39.468Z"
48,"默认牌组","牛蒡子","疏散风热、宣肺透疹、解毒利咽","","2026-02-27T07:48:39.468Z"
49,"默认牌组","蝉蜕","疏散风热、利咽开音、透疹、明目退翳、解痉","","2026-02-27T07:48:39.468Z"
50,"默认牌组","桑叶","疏散风热、平抑肝阳、清肝明目、清肺润燥","","2026-02-27T07:48:39.468Z"
51,"默认牌组","菊花","疏散风热、平抑肝阳、清肝明目、清热解毒","","2026-02-27T07:48:39.468Z"
52,"默认牌组","柴胡","疏散退热、疏肝解郁、升举阳气","","2026-02-27T07:48:39.468Z"
53,"默认牌组","升麻","发表透疹、清热解毒、升举阳气","","2026-02-27T07:48:39.468Z"
